// index   chinese   japanese   detail   sprite-icon
7 杰尼龟 ゼニガメ https://wiki.52poke.com/wiki/%E6%9D%B0%E5%B0%BC%E9%BE%9F sprite-icon-0007
8 卡咪龟 カメール https://wiki.52poke.com/wiki/%E5%8D%A1%E5%92%AA%E9%BE%9F sprite-icon-0008
9 水箭龟 カメックス https://wiki.52poke.com/wiki/%E6%B0%B4%E7%AE%AD%E9%BE%9F sprite-icon-0009
54 可达鸭 コダック https://wiki.52poke.com/wiki/%E5%8F%AF%E8%BE%BE%E9%B8%AD sprite-icon-0054
55 哥达鸭 ゴルダック https://wiki.52poke.com/wiki/%E5%93%A5%E8%BE%BE%E9%B8%AD sprite-icon-0055
60 蚊香蝌蚪 ニョロモ https://wiki.52poke.com/wiki/%E8%9A%8A%E9%A6%99%E8%9D%8C%E8%9A%AA sprite-icon-0060
61 蚊香君 ニョロゾ https://wiki.52poke.com/wiki/%E8%9A%8A%E9%A6%99%E5%90%9B sprite-icon-0061
62 蚊香泳士 ニョロボン https://wiki.52poke.com/wiki/%E8%9A%8A%E9%A6%99%E6%B3%B3%E5%A3%AB sprite-icon-0062
72 玛瑙水母 メノクラゲ https://wiki.52poke.com/wiki/%E7%8E%9B%E7%91%99%E6%B0%B4%E6%AF%8D sprite-icon-0072
73 毒刺水母 ドククラゲ https://wiki.52poke.com/wiki/%E6%AF%92%E5%88%BA%E6%B0%B4%E6%AF%8D sprite-icon-0073
79 呆呆兽 ヤドン https://wiki.52poke.com/wiki/%E5%91%86%E5%91%86%E5%85%BD sprite-icon-0079
80 呆壳兽 ヤドラン https://wiki.52poke.com/wiki/%E5%91%86%E5%A3%B3%E5%85%BD sprite-icon-0080
86 小海狮 パウワウ https://wiki.52poke.com/wiki/%E5%B0%8F%E6%B5%B7%E7%8B%AE sprite-icon-0086
87 白海狮 ジュゴン https://wiki.52poke.com/wiki/%E7%99%BD%E6%B5%B7%E7%8B%AE sprite-icon-0087
90 大舌贝 シェルダー https://wiki.52poke.com/wiki/%E5%A4%A7%E8%88%8C%E8%B4%9D sprite-icon-0090
91 刺甲贝 パルシェン https://wiki.52poke.com/wiki/%E5%88%BA%E7%94%B2%E8%B4%9D sprite-icon-0091
